PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
6.83089E+14,30077,2022,2020,NA,1.2797E+15,61.25988,-159.5666,94,30077AC,PIGL,18.8,NA,NA
6.83089E+14,30077,2022,2020,NA,1.2797E+15,61.25988,-159.5666,94,30077AD,PIGL,14.73,NA,NA
6.83089E+14,30077,2022,2020,NA,1.2797E+15,61.25988,-159.5666,94,30077AE,PIGL,39.12,NA,NA
6.83089E+14,48604,2022,2020,NA,1.2797E+15,61.66014,-156.264,95,48604AA,PIMA,10.92,NA,NA
6.83089E+14,48604,2022,2020,NA,1.2797E+15,61.66014,-156.264,95,48604AB,PIMA,8.64,NA,NA
6.83089E+14,48604,2022,2020,NA,1.2797E+15,61.66014,-156.264,95,48604AC,PIMA,12.7,NA,NA
9.23529E+14,42722,2022,2022,NA,1.27974E+15,62.28236,-158.9113,95,42722AC,PIMA,13.21,NA,NA
9.23529E+14,42722,2022,2022,NA,1.27974E+15,62.28236,-158.9113,95,42722AD,PIMA,4.83,NA,NA
9.23529E+14,42722,2022,2022,NA,1.27974E+15,62.28236,-158.9113,95,42722AE,PIMA,9.65,NA,NA
9.23529E+14,42722,2022,2022,NA,NA,62.28236,-158.9113,95,42722AF,PIMA,14.73,NA,NA
9.23529E+14,42722,2022,2022,NA,1.27974E+15,62.28236,-158.9113,95,42722AG,PIMA,12.45,NA,NA
6.83089E+14,43840,2022,2020,NA,1.2797E+15,61.47726,-158.6334,95,43840AA,PIMA,10.67,NA,NA
6.83089E+14,43840,2022,2020,NA,1.2797E+15,61.47726,-158.6334,95,43840AB,PIMA,10.41,NA,NA
6.83089E+14,43840,2022,2020,NA,1.2797E+15,61.47726,-158.6334,95,43840AC,PIMA,12.45,NA,NA
6.83089E+14,2224,2022,2020,NA,NA,61.55356,-156.7471,95,02224AB,PIMA,14.48,NA,NA
6.83089E+14,2224,2022,2020,NA,NA,61.55356,-156.7471,95,02224AC,PIMA,20.07,NA,NA
6.83089E+14,11899,2022,2020,NA,1.2797E+15,61.45267,-156.0029,95,11899AA,PIMA,10.16,NA,NA
6.83089E+14,11899,2022,2020,NA,1.2797E+15,61.45267,-156.0029,95,11899AB,PIMA,10.67,NA,NA
6.83089E+14,11899,2022,2020,NA,1.2797E+15,61.45267,-156.0029,95,11899AC,PIMA,11.43,NA,NA
6.83089E+14,267,2022,2020,NA,1.2797E+15,61.77254,-158.2567,95,00267AA,PIMA,9.14,NA,NA
6.83089E+14,267,2022,2020,NA,1.2797E+15,61.77254,-158.2567,95,00267AB,PIMA,12.45,NA,NA
